Job_Title,Company_Name,Location,Date,Job_Description,Estimated_Salary
Data Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Science Modeler,Avero,"Boulder, CO 80301",,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Intern - Data Science (Summer 2020),MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",20 days ago,"Active pursuit of Data Science, Computer Science, Mathematics or related degree with at least two years completed (and one year remaining).",
Data Scientist,Aegis Premier Technologies,"Westminster, CO 80021",30+ days ago,"Data science: 2 years (Required).The Data Scientist will help us design, create and deliver products driven from vast consumer data resources.",
Data Engineer,Noom Inc.,"New York, NY",30+ days ago,We are looking for a Data Engineer to join our Data team and help us improve and maintain our Data Warehouse.What We’ll Like About You*.,
Data Scientist,DISYS,"Auburn Hills, MI",3 days ago,"Data Science: 3 years (Required).2+ years of experience in big data streaming frameworks, data processing and real-time ingestion patterns.",$65 an hour
Data Science,Globalmax Solutions,,30+ days ago,"We are looking for a progressive Data Scientist.Check data for errors, inconsistencies, usability and relevance.5+ years experience in the field of practice.",
Data Scientist - Data Analytics,FCA,,20 days ago,"The Data Scientist first extracts the data from various sources or databases, clean, structure, and understand the data.",
Statistician/Data Analyst,Ann Arbor Pharmacometrics Group,,3 days ago,"Master’s degree in biostatistics, statistics, data science, a related field or commensurate experience required.Salary: $50,000.00 to $70,000.00 /year.","$50,000 - $70,000 a year"
Data Scientist,AQUASIGHT LLC,,30+ days ago,"Data Science: 2 years (Required).Proficient across data analytics value chain: data acquisition, data transformation, data management, data and statistical…","$70,000 - $90,000 a year"
Data Science Internship,DICK'S Sporting Goods,,18 days ago,The core data science team at DICK’S Sporting Goods is seeking a Data Science intern to support product teams within the technology organization.,
Consumer Insights Data Scientist,"Jimmy John's Franchise, LLC",,30+ days ago,"Experience working with large data sets/ data warehouses, including the ability to extract data from data sets using advanced scripting or SQL.",
Data Science and Strategy Extern,Impossible Foods,,30+ days ago,Our small team is composed primarily of ex-consultants and has a broad mandate to work across functions to help the business formulate and execute its goals.,
Entry Level Data Scientist,Numero Data LLC,,3 days ago,"Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations…","$70,000 a year"
Analytics and Data Science Internship Summer 2020,BAE Systems,,14 days ago,"This position is for an individual interested in data science, business intelligence, analytics and data visualization.Ability to work in a team.",
"Internships, Data Strategy/Data Science- Summer 2020",Viacom,,30+ days ago,Data Science is responsible for all data science and analytic products that serve Viacom with the goal of placing the networks on the leading edge of advanced…,
Senior Data Scientist,GEICO,"Chevy Chase, MD",27 days ago,"We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment…",
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
Data Science Manager,Big Fish Games,"Oakland, CA 94612",30+ days ago,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",3 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
