Job_Title,Company_Name,Location,Date,Job_Description,Estimated_Salary
Fitness Performance Data Scientist,Apple,,10 days ago,"MS, Ph.D or 5+ years experience in quantitative data science discipline (statistics/biostatistics, epidemiology, computer science).",
Data Scientist I,Battelle,,30+ days ago,"Bachelor’s Degree in Statistics, Data Science, Mathematics, Computer Science, Engineering, or relevant related field.Attention to detail and adaptability.",
Marketing Data Science Analyst (SQL/Python/Tableau/Alteryx),Tractor Supply Company,"Brentwood, TN 37027",,"The Marketing Data Science Analyst is responsible for creating, expanding, maintaining and analyzing optimized data that will be the foundation for cross…",
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Data Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
"Head of Data Science, Search",Wayfair,"Boston, MA",,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Science Modeler,Avero,"Boulder, CO 80301",,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
Intern: Data Science,Asana,,30+ days ago,"Strong technical background in computer science, statistics, math, information science, or another quantitative field.",
Data Scientist/Mentor,Lifescale Analytics,,Today,"Bachelor’s degree in Data Science, Computer Science or equivalent in related work experience.Recommend data architecture and schematics, ETL process/Tool, data…",
SWE Data Scientist,Apple,,30+ days ago,"Substantial data analysis experience working with large-scale data.We use the latest Big Data technologies to tackle complex, large-scale problems using…",
Data Science Analyst,SGS,,5 days ago,"The Data Science Analyst, CBE supports business development and marketing teams with insights gained from analyzing company data.",
Senior Data Engineer,digital dhara,,Today,Work with Data Scientists and build scripts to meet their data needs.Reproduce issues faced by Data Scientists.Data model development and Model scoring.,$65 an hour
Data Scientist Researcher,Shell India,,3 days ago,114285BR The Data Scientist is part of the data science team within the Data Science CoE.Data scientists use data and their analytical ability to find and…,
Junior Data Scientist,Community Federal Savings Bank,,3 days ago," Query, analyze and model transactional data from operational databases, internal data-stores and data warehouses.VBA, Powershell, etc. is a plus.","$85,000 a year"
Data Scientist,Dataiku,,3 days ago,Co-develop data science projects with our customers.Dataiku’s Data Science team is responsible for delivering on that promise.,
Data Scientist,Advantine Technologies,,Just posted,"Data science, R, Python, SAS.Experience using statistical computer languages (R, Python, SAS) to manipulate data and draw insights from large data sets.",
Data Science - Simulation Specialist,McKinsey & Company,,30+ days ago,"Fluency and ease in basic data manipulation, exploratory analysis and data engineering (e.g., feature creation, parameter estimation).",
"Head of Data Science, Search",Wayfair,"Boston, MA",30+ days ago,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Systems Engineer,Direct Automation,"Sioux Falls, SD 57104",30+ days ago,"The Data Systems Engineer will be customer-oriented, well organized, and possess good problem- solving skills.Lead and develop process improvements.",
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",30+ days ago,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",4 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",4 days ago,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Science Manager,Big Fish Games,"Oakland, CA 94612",30+ days ago,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
CIB data+design - Data Scientist - VP,JP Morgan Chase,,12 days ago,"Be a data storyteller, deliver practical data insights in a compelling manner to senior leadership.Analytical thought leader - You can define the analytical…",
Big Data Engineer-,Apar Technologies,,4 days ago,Big Data Engineer 4-5 years of hands on experience working with Cloudera/HortonWork implementations.,
DATA QUALITY ENGINEER,ORIS Intelligence,,5 days ago,"A Data Quality Engineer at ORIS combines data analysis, data science, and software engineering skills to ensure our data is as accurate as possible.",
Data Scientist,Ganit,,30+ days ago,"Create and implement data models.Can handle data extraction, preparation and transformation.2+ years of Analytics experience.",
Data Science Intern,XPO Logistics,,30+ days ago,"Gather and integrate data from various sources for data wrangling.Identify, analyze and interpret trends, patterns and relationships in complex data sets and…",
Machine Learning Engineer,Digital dhara,,4 days ago,Hands on architecture & designing experience for Big Data predictive analytics solutions and experience working with Big Data ecosystem components.,
Data Engineer,Savantis Solutions LLC,,3 days ago,The Data Engineer possesses 3+ years of experience developing & managing data replication & data warehouse solutions and is responsible for the development of…,
Data Engineer 3 - Contract,The Church of Jesus Christ of Latter-day Saints,,Today,"Maintain and support ETL jobs, pulling data from various source systems and loading data into the data warehouse.Proficient in dimensional data modeling.",
Data Solutions Engineer/Architect,Liberty Mutual Insurance,,13 days ago,"Experience with Data practices and technologies including data lake, data warehousing, data integration patterns (ETL, services, messaging), analytics and…","$123,000 - $161,800 a year"
Data Center Engineer,Cognizant Technology Solutions,,Today,"Enforce Data Center policies, guidelines, standards and procedures to keep the Data Center clean and organized while maintaining its showcase status.",
"Head of Data Science, Search",Wayfair,"Boston, MA",,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Warehouse Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Manager,Big Fish Games,"Oakland, CA 94612",,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
Data Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Science Modeler,Avero,"Boulder, CO 80301",,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
Data Science - Simulation Specialist,McKinsey & Company,,30+ days ago,"Fluency and ease in basic data manipulation, exploratory analysis and data engineering (e.g., feature creation, parameter estimation).",
Data Scientist,INSIGMA INC,,14 days ago,"Data Scientist, optimization, Machine Learning.Data scientist with optimization and ML experience.",$40 - $50 an hour
Data Science Intern,Esurance,,30+ days ago,"Supporting data science projects in data acquisition, cleaning, processing.What our Data Science & Analytics Group is all about:",
Data Scientist,"Remedy BPCI Partners, LLC.",,30+ days ago,"Strong knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining…",
Head of Data Science,BioTrillion,,30+ days ago,"7+ years experience in a data science position, preferably working as a Senior Data Scientist.Manage junior data science teams and oversee all activities to…",
Product Data Analyst - Equinox Media,EQUINOX,,10 days ago,MIS / Computer Science / Engineering / Data Science.Good exposure to Data Warehouse principles and basic understanding of data modeling.See what we're up to:,
Data Scientist Researcher,Shell India,,3 days ago,114285BR The Data Scientist is part of the data science team within the Data Science CoE.Data scientists use data and their analytical ability to find and…,
Consultant Statistics and Data Science,Shell India,,3 days ago,120370BR The Statistical Consultant will work under the Shell’s Statistical Engineering group who provides wide-ranging expertise in statistics and data science…,
ETL/SSIS Data Engineer,Neo Link Services,,13 days ago,HR data experience is a plus!We are seeking an experienced Data Engineer with at least 3-5 years of experience creating ETL processes to create data warehouses…,$60 - $90 an hour
Data Analyst,ThreatMetrix,,30+ days ago,"Experience with data science toolkit -- Python (pandas, sklearn), R, SAS.1+ years of post-graduate data analytics experience.","$70,000 - $100,000 a year"
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Marketing Data Science Analyst (SQL/Python/Tableau/Alteryx),Tractor Supply Company,"Brentwood, TN 37027",30+ days ago,"The Marketing Data Science Analyst is responsible for creating, expanding, maintaining and analyzing optimized data that will be the foundation for cross…",
Data Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",4 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",4 days ago,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Warehouse Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",30+ days ago,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director I, Data Science, GRS Predictive Analytics Team",Liberty Mutual Insurance,,30+ days ago,"Coach, mentor, lead, and develop data science talent within the team.Prepare data for modeling and make the best/creative use of applicable and available…","$132,300 - $173,200 a year"
Postdoctoral Research Associate - TRIPODS Institute for Theo...,University of Massachusetts Amherst,,3 days ago,The UMass Amherst TRIPODS Institute for Theoretical Foundations of Data Science invites applications for postdoctoral fellowship positions in data science with…,
Data Scientist,Palo Verde Consulting,,13 days ago,Data Scientist: 5 years (Required).Explore the suitability of the client's hardware for common data processing algorithms.Deep Learning: 2 years (Required).,"$150,000 - $210,000 a year"
Data Scientist,Booz Allen Hamilton,,Today,"As a data scientist, you can turn these complex data sets into useful information to solve global challenges.Access online and onsite training in data analysis…",
Data Scientist Internship,"Red Hat, Inc.",,30+ days ago,"Master’s degree in data science, mathematics, computer science, or a related quantitative field.Data manipulation using R and Python.",
2020 Data Science Summer Internship,Optoro,,30+ days ago,Data Science Intern - Summer 2020.The Data Science Interns at Optoro will work on a variety of projects oriented towards advancing Optoro's business in both…,
"Director, Analytics & Data Science",Microsoft,,10 days ago,"Experience in industry data science (e.g., machine learning, predictive maintenance) preferred.Minimum 8+ years of relevant experience in advanced data…",
"Data Science Manager, SBG",Facebook,,6 days ago,"The SBG team is seeking a Data Science Manager who is passionate about using data and insights to drive business strategy, inform its execution, improve…",
R&D Scientist-Data Analyst,Syngenta,,13 days ago,"Relevant fields: agricultural or plant-science related field of study (Agronomy, Horticulture, Epidemiology, Entomology, Plant Pathology, Weed Science,) with an…",
CCB - Quantitative Modeling/Data Science - Vice President,JP Morgan Chase,,30+ days ago,"The CCB Business Modeling Center of Excellence is a newly-formed team of data scientists focused on quantitative modeling for marketing, finance and operations.",
"Head of Data Science, Search",Wayfair,"Boston, MA",,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Systems Engineer,Direct Automation,"Sioux Falls, SD 57104",,"The Data Systems Engineer will be customer-oriented, well organized, and possess good problem- solving skills.Lead and develop process improvements.",
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Modeler,Avero,"Boulder, CO 80301",,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Science Manager,Big Fish Games,"Oakland, CA 94612",,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
Big Data Model Engineer,Xpect Service Inc.,,24 days ago,"An ideal candidate will have the following skills:2+ years of experience designing, developing and implementing AAS Tabular models (Azure Analysis Services).",$84 an hour
Data Engineer,SADA,,10 days ago,Google Professional Data Engineer Certified.Join SADA as a Data Engineer!Experience building production-grade data solutions (relational and NoSQL).,
Data Science Sol Consultant,"Anthem, Inc.",,30+ days ago,"Data Science Solutions Consultant is responsible for design and development of analytic models, applications and supporting tools, which enable Data Scientists…",
Spring 2020 Data Science Intern,ON Semiconductor,,11 days ago,"Currently pursuing a degree in data science, industrial engineering, artificial intelligence, applied/traditional statistics, mathematics, computer science,…",
Data Analyst,Rocket Homes,,26 days ago,"The Data Analyst researches new data sources, dives deep into existing data, discovers patterns, provides recommendations and impacts assessments to enable data…",
Lead Data Scientist,AETNA,,21 days ago,Deep knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.Pricing) better predict member care journeys.,
Machine Learning Internship (Neurips 2019),Apple,,7 days ago,"As a member of the team, you will work on some of the most challenging technical problems, develop new ML solutions that will impact future Apple products, and…",
Data Engineer,Farm Credit Services of America,,11 days ago,"Data Lake ecosystems, Metadata Management, Data Modeling, Data Cataloging, Data Quality Workflow and Remediation tools, and Master Data Management are preferred…","$98,220 - $152,250 a year"
Data Engineer,Zensar Technologies,,Today,The Data Engineer is responsible for Level 1 and Level 2 management and recovery of the Core batch applications and services which include:,
Sr. Data Management Engineer (Senior Business Intelligence D...,TekWissen Group,,4 days ago,Data Management Engineer (Senior Business Intelligence Developer).Designs reporting data models and develops ETL packages which load them.,$55 - $60 an hour
"Head of Data Science, Search",Wayfair,"Boston, MA",30+ days ago,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Systems Engineer,Direct Automation,"Sioux Falls, SD 57104",30+ days ago,Lead systems management efforts and help define product roadmap for the Data Management team.Responsible for creating custom or requested reports from PI data…,
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",30+ days ago,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",4 days ago,Permanent position with great benefits package and competitive compensation DOE.MUST BE ELIGIBLE to work for ANY Employer in U.S.Java a plus but not required.,
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",4 days ago,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Science Manager,Big Fish Games,"Oakland, CA 94612",30+ days ago,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
Data Science Intern,ServiceLink Information Technology,,4 days ago,"Experience working on Data Science projects for course work, Kaggle competitions, internships, etc.Knowledge of SQL and Cosmos DB and how data science projects…",
"Data Scientist,Statistician",RCI,,Today,"Preferably 1+ year experience with data science/predictive modeling, segmentation, and testing.M.S. or Ph.D. in Data Science/Statistics or related fields.",
Data Scientist,SSB Consulting Group LLC,,Just posted,"Experience in managing and manipulating large, complex data sets.Experience with data visualization tools (Tableau, PowerBI, matplotlib, seaborn).",
Data Scientist – Market Research,Campos,,30+ days ago,"Bachelor's degree or advanced degree in marketing/market research, data science, or social science is appropriate.Proficiency in Excel is a must.",
"Engineer, Data",SoFi,,4 days ago,"Design and build data structures in Data Warehouse.Ideal candidates must be enthused about writing SQL, data problem solving and build data pipelines and…",
Data Science Engineer Lead,"Anthem, Inc.",,4 days ago,"Mentors Data Science Solution Consultants/Consultant Seniors.The Data Science Solution Lead is responsible for the design and development of analytic models,…",
Entry level Azure Data Engineer,Talent Hire consulting,,3 days ago,Degree in Computer Science or Information Systems/Technology preferred.Support the build and deployment of Azure Data & Analytics Platforms in our customer's…,
"Product Analyst, Data Science",Google,,24 days ago,"BA/BS or Master's degree in a quantitative field such as; Statistics, Computer Science, Engineering, Mathematics, Data Sciences.",
Data Scientist|| Machine Learning,Expedite LLC,,4 days ago,"Any Certifications required (Y/N, specify) Any Data Science certifications.3+ years of Proven experience as a Data Scientist or Data Analyst.",$60 - $65 an hour
Clinical Quality Data Science/Analytics Specialist (FT) John...,Ballad Health,,3 days ago,"Establish and maintain strong knowledge of data warehouse database design, data definitions, system capabilities, and data integrity issues.8 AM to 5 PM.",
"Head of Data Science, Search",Wayfair,"Boston, MA",30+ days ago,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Warehouse Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",30+ days ago,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",4 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",4 days ago,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Manager,Big Fish Games,"Oakland, CA 94612",30+ days ago,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
Data Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
CCB - Quantitative Modeling/Data Science - Vice President,JP Morgan Chase,,30+ days ago,"The CCB Business Modeling Center of Excellence is a newly-formed team of data scientists focused on quantitative modeling for marketing, finance and operations.",
Data Engineer,Groundspeed,,30+ days ago,"Groundspeed is a data science and artificial intelligence (AI) company serving commercial property and casualty insurance carriers, brokers and managing general…",
"Data Scientist, Energy Platform",Shell India,,3 days ago,Have a passion for implementing ML/DL solutions for real-time inferencing over Asset Telemetry data; and is comfortable applying modern Deep Learning techniques…,
"Associate, Data Science",JP Morgan Chase,,11 days ago,"The Data Scientist is an individual contributor that should be able to apply quantitative, data science and analytical skills to complex problems.",
Data Engineer,"Amazon.com Services, Inc.",,3 days ago,"Work with systems engineers and data scientists to design and build a analytics platform and data lake to support compute heavy data science, dashboarding, and…",
Data Engineer,USA Clinics,,9 days ago,"Preparing raw data for manipulation by Data Scientists.Bachelor's degree in Data Engineering, Big Data Analytics, Computer Engineering, or related field…",$50 - $65 an hour
"Intern, Data Science",American Medical Association,,13 days ago,"General knowledge of transactional data processing, ETL, data warehouse, data mart, and operational reporting solutions a plus.",
Data Science Intern (Summer 2020),Wolverine Trading,,30+ days ago,Data Science Intern (Summer 2020).Data Science Intern (Summer 2020) at Wolverine Trading.Our team oversees thousands of data sources and the algorithms that…,
Data Science Analyst,SGS,,5 days ago,"The Data Science Analyst, CBE supports business development and marketing teams with insights gained from analyzing company data.",
"2020 Summer Intern - Client Data Science, US",Pacific Investment Management Company LLC,,30+ days ago,"Studying for a Master of Science degree in Data Science, Statistics, Applied Math, Computer Science or similar technical discipline.",
"Head of Data Science, Search",Wayfair,"Boston, MA",30+ days ago,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Systems Engineer,Direct Automation,"Sioux Falls, SD 57104",30+ days ago,"The Data Systems Engineer will be customer-oriented, well organized, and possess good problem- solving skills.Lead and develop process improvements.",
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",30+ days ago,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",4 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",4 days ago,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Science Manager,Big Fish Games,"Oakland, CA 94612",30+ days ago,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
Data Analyst/Reporting Specialist,Jetfuel Agency,,6 days ago,"Participating in data collection for Data Science modeling efforts such as lifetime value analysis, cohort analysis and more.",
Big Data Engineer,RiVi Consulting Group,,3 days ago,"Demonstrated expertise in data or information systems engineering, with a focus on data lakes, data warehousing, analytics, data engineering, and Big Data.",
Sr. Data Scientist 2019-MET-903,"ICES, Inc.",,3 days ago,"Master’s Degree in Operations Research, Engineering, Computer Science, Physics, Information Systems, Data Science and Analytics, Math/Statistics, Economics or…",
Principal Engineer I - Core & Backbone - Data Center Plannin...,Spectrum,,3 days ago,Mentors other engineers supporting the data center network.Experience supporting a data center environment a plus.,
"Data Scientist (PYTHON, HADOOP)",SoftVision - TAMS,,6 days ago,3-5 years of experience building large data sets from multiple sources to build algorithms for predicting future data characteristics.Core to this need are:,
Data Scientist/ Storyteller,CBRE,,30+ days ago,Applies the tools of modern data science using open source architecture to the analysis of CBRE's proprietary data.You are a data therapist;,
Data Scientist - Market Research,Campos,,30+ days ago,"Bachelor's degree or advanced degree in marketing/market research, data science, or social science is appropriate.Proficiency in Excel is a must.",
Data Science Manager,Facebook,,30+ days ago,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…",
Part-Time Lecturer Data Mining/Machine Learning Online,Northeastern University,,Today,Primary responsibilities will be teaching an online course in the area of data analytics- introduction to data management and data mining/machine learning.,
Data Scientist,Telnet INC,,6 days ago,Implement various data science algorithms on chosen data sources.Use business knowledge to guide projects to utilize the proper data science methodology.,$50 - $52 an hour
"Head of Data Science, Search",Wayfair,"Boston, MA",,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Data Warehouse Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or…",
Data Science Modeler,Avero,"Boulder, CO 80301",,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Data Science Manager,Big Fish Games,"Oakland, CA 94612",,Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and…,
Data Analyst/Reporting Specialist,Jetfuel Agency,,6 days ago,"Participating in data collection for Data Science modeling efforts such as lifetime value analysis, cohort analysis and more.",
Big Data Engineer,RiVi Consulting Group,,3 days ago,"Demonstrated expertise in data or information systems engineering, with a focus on data lakes, data warehousing, analytics, data engineering, and Big Data.",
